acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI189918,I,D,P,T,E,N,Br,S,Y,Y,37.5,20.5,43.8,6.2,11002.0,629.0,830.0,81.0,830.0,1.4,3.8,14.6,2.15,Dans Desmarais
PI189919,I,D,P,T,E,Ssp,Br,S,Y,Tn,38.1,20.1,48.8,7.1,11002.0,702.0,904.0,74.0,904.0,2.2,2.5,13.5,1.73,Visuson
PI189930,II,D,W,G,E,N,Br,S,Y,Lbf,39.0,22.3,48.5,6.5,11002.0,703.0,912.0,84.0,912.0,1.7,3.3,20.5,2.7,Mandchurische
PI189931,II,D,W,G,E,N,Bl,S,Y,Bf,39.3,20.0,45.9,6.1,11002.0,701.0,908.0,66.0,908.0,1.2,3.3,12.8,1.87,Jaune De Mandchouria
PI189941,I,D,P,T,E,N,Tn,D,Bl,Bl,38.4,21.3,48.8,5.6,11002.0,628.0,830.0,33.0,830.0,1.1,2.5,14.9,1.16,Rouest 1
PI189947,I,D,P,T,E,N,Br,S,Bl,Bl,38.2,19.3,51.6,4.3,11002.0,701.0,903.0,48.0,903.0,3.8,2.8,12.6,1.08,Grignon 6
PI189958,II,D,W,T,E,Ssp,Br,S,Bl,Bl,37.1,20.7,46.7,6.5,11002.0,709.0,916.0,53.0,916.0,1.2,3.0,22.0,2.13,Noir Vah
PI189962,I,D,P,T,E,N,Br,D,Gn,Bl,37.6,20.9,46.4,6.6,11002.0,704.0,830.0,41.0,830.0,1.1,3.5,21.5,1.45,Green 14/9
PI189963,0,D,P,T,E,N,Br,D,Gn,Bl,50.4,15.8,43.6,6.9,11001.0,703.0,901.0,48.0,901.0,2.0,4.0,18.3,0.8,Geant Vert
PI189968,I,D,P,T,E,N,Bl,I,Gn,Gn,40.3,20.8,46.4,6.7,11002.0,629.0,829.0,69.0,829.0,1.2,2.8,13.9,2.13,Tokio
PI189969,III,D,P,T,E,N,Bl,S,Gn,Br,44.3,19.9,52.7,9.0,11003.0,724.0,1004.0,74.0,1004.0,3.2,2.5,15.5,1.67,Erectus
PI194624,0,D,P,T,E,N,Tn,D,Y,Br,41.9,18.5,50.6,5.8,11001.0,703.0,906.0,64.0,906.0,1.5,3.5,22.5,0.84,
PI194634,0,D,P,T,E,Ssp,Tn,D,Y,Br,44.8,18.4,43.0,6.5,11001.0,628.0,828.0,51.0,828.0,2.5,3.0,24.2,0.96,
PI194635,0,D,P,T,E,N,Tn,D,Gn,Bl,46.7,17.5,43.0,6.3,11001.0,708.0,906.0,66.0,906.0,2.5,4.0,21.7,0.93,
PI194636,0,D,P,T,E,Ssp,Tn,I,Y,Br,43.3,20.8,45.1,6.1,11001.0,628.0,825.0,38.0,825.0,2.0,3.0,25.0,1.08,
PI194638,0,D,P,T,E,Ssp,Tn,S,Y,Br,40.8,20.6,42.9,5.7,11001.0,701.0,907.0,43.0,907.0,2.0,3.0,26.8,0.89,
PI194639,0,D,P,T,E,Ssp,Tn,S,Y,Br,40.8,20.3,40.9,6.0,11001.0,630.0,826.0,43.0,826.0,3.0,3.5,25.0,0.95,
PI194640,0,D,P,T,E,N,Br,S,Gn,Bl,45.3,19.2,46.0,7.2,11001.0,629.0,814.0,36.0,814.0,1.0,3.5,14.8,0.77,
PI196148,III,D,P,T,E,N,Bl,D,Y,Br,41.6,19.2,52.1,10.6,11003.0,715.0,922.0,46.0,922.0,1.8,2.3,17.5,1.47,Akasaya-1
